,Time (Seconds),W,X,Y,Z,roll rad,pitch rad,yaw rad,roll deg std dev,pitch deg std dev,yaw deg std dev,roll deg,pitch deg,yaw deg,omega_x deg,omega_y deg,omega_z deg,omega_x rad,omega_y rad,omega_z rad
0,0.0,0.5783245,0.00559125,0.8157597499999999,0.006601,-0.004273678277094348,0.016758800749612997,-2.466642117994922,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.2448637282742473,0.960208552653505,-141.32818293031946,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.5734795,0.00511525,0.8191777499999999,0.00636125,-0.0045260967566792066,0.015678076034217423,-2.4429255485407526,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.25932624182556885,0.8982875876458616,-139.96932359606666,0.068409136481278,-0.5577077880311235,13.589586750209445,0.0011939646700444692,-0.00973383716515773,0.23718303277655103
2,0.2,0.5691809999999999,0.00429125,0.8221755000000001,0.006254249999999999,-0.005370269413713947,0.014177139540772982,-2.421958274298179,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.3076937722540042,0.8122902612543299,-138.76798727407382,-0.3133658828134825,-0.7954526595993572,12.01660100177545,-0.005469266418513981,-0.01388326795375446,0.20972925237943058
3,0.3,0.5642594999999999,0.0040865,0.8255595,0.00651075,-0.006109492799163784,0.014096012540915049,-2.3980582398811854,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.3500481523576523,0.807642026557912,-137.39861617176268,-0.23052347098296017,0.03717131747192926,13.692379035010873,-0.004023393571778264,0.0006487618771892606,0.23897709659198366
4,0.4,0.559645,0.0034392499999999996,0.828699,0.006491500000000001,-0.006880631138451032,0.012967183381012907,-2.3757255396517913,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.3942311246195389,0.7429648799042209,-136.11904670348756,-0.2759102531049334,-0.5587217978578716,12.798766207191584,-0.004815542356691995,-0.00975153497528206,0.22338061050847988
5,0.5,0.554895,0.00452575,0.8318805,0.006552499999999999,-0.005850354157851482,0.0148029487944852,-2.3528619870064227,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.3352006019017029,0.8481464902722717,-134.80906163223275,0.7842145645058616,1.1284280359457,13.092037852969764,0.013687126192720743,0.019694784599065387,0.22849916633005166
6,0.6,0.550298,0.00495375,0.83492425,0.0068330000000000005,-0.005929290009012131,0.015793783923148074,-2.3307997083483354,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.33972329302548093,0.9049171613379564,-133.54498617868282,0.15441013458232442,0.6426376440711529,12.63558973868792,0.0026949652469091204,0.011216142786301033,0.2205326438713141
7,0.7,0.545851,0.005530499999999999,0.83783425,0.0068735,-0.005451362094112283,0.016772627575555896,-2.309543481261325,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.31234004059023207,0.9610007714240951,-132.32709407822546,0.47809545307685913,0.627209808655234,12.173969709160032,0.008344339795005247,0.010946876261837461,0.21247585446289904
8,0.8,0.5410655,0.00513125,0.8409342500000001,0.00692975,-0.006073589599919538,0.01613042736932763,-2.2867299782713606,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.34799105056993973,0.9242054100047844,-131.01997664099142,-0.14567561409138294,-0.28856869479463526,13.071467639953479,-0.00254251910575928,-0.005036473842349007,0.2281401483850809
9,0.9,0.536411,0.004896,0.8439155,0.00662925,-0.005907768157668472,0.015376974648276925,-2.2646240771258137,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.33849018177618134,0.8810357490259313,-129.75340180301816,0.2897619045189845,-0.3568720527865655,12.66658033978272,0.005057299280705715,-0.006228592329476572,0.22107353189759057
10,1.0,0.5318444999999999,0.00550625,0.84679975,0.0062612499999999995,-0.004718251068544452,0.015986828816001095,-2.243034537145266,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.270335872910688,0.9159778189549896,-128.5164122805038,0.8792900625210631,0.4077734065832067,12.366528198703577,0.015346506671059343,0.007116988546950477,0.21583663410810097
11,1.1,0.52684425,0.0058172499999999995,0.8499165000000001,0.00634675,-0.004630016968961835,0.01657735310011704,-2.2194654942000307,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.26528043139546703,0.9498123681348176,-127.16600559257925,0.2744058470505665,0.4008571098032255,13.500500141287905,0.004789285517756356,0.006996276396094723,0.23562817813143358
12,1.2,0.52204,0.005027,0.852885,0.005842249999999999,-0.004687984370439269,0.014675951850158499,-2.196881511799493,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.2686017188494644,0.8408701013512939,-125.87203871643071,0.15668226427403606,-1.0287564864550613,12.943240294995226,0.0027346213910618123,-0.017955187889889267,0.22590215902446883
13,1.3,0.5175825,0.00486975,0.8556015,0.00531975,-0.0040330919548529735,0.013841134622501191,-2.1760144769933234,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.23107914740124214,0.7930385975417181,-124.67644569108461,0.5407040708981236,-0.43009653138320436,11.95661688725295,0.009437066316109109,-0.0075066005740440376,0.20868233208211961
14,1.4,0.51309625,0.005012249999999999,0.8582995,0.00514125,-0.003652808570263362,0.013881124174019988,-2.155079234152063,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.20929051444530708,0.7953298300683662,-123.4769446331989,0.38438521376314766,0.06672333118267669,11.993691253328809,0.00670878757614915,0.0011645418170363104,0.209329401838233
15,1.5,0.5079454999999999,0.00561825,0.86135275,0.005313,-0.0034161173995496874,0.015077333151721918,-2.1311274725774405,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.19572910931540305,0.8638675559063456,-122.10460978306942,0.34251770930637304,0.7322484091955348,13.71936730384558,0.005978061773785032,0.012780145682952805,0.23944813074256266
16,1.6,0.50277225,0.0057252499999999994,0.8643785,0.005893,-0.004401654889830984,0.0158246430569122,-2.1071347675847267,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.2521962480604367,0.9066852594620705,-120.72992904788447,-0.3471421471214596,0.4886738180119442,13.743068320860354,-0.006058773439712025,0.008528967092599997,0.23986179152554168
17,1.7,0.49821225,0.006339000000000001,0.86700975,0.00603975,-0.004127837114551062,0.017011667824867883,-2.0860738782384445,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.23650764518123557,0.974696768843427,-119.52322897555045,0.3621559356618185,0.729912564238145,12.062344503114867,0.006320813482939482,0.012739377497630246,0.21052762708919381
18,1.8,0.49351849999999997,0.006825,0.86968525,0.00612975,-0.003896533692332041,0.01792319612866951,-2.064463913508262,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.22325493530115317,1.026923493557979,-118.28506920108443,0.3544330222407481,0.5705007240995779,12.377480053426124,0.006186023215895344,0.009957116020549396,0.21602778003220952
19,1.9,0.48848925,0.00672,0.8725192499999999,0.006382250000000001,-0.004543244376549373,0.017963688684968594,-2.0413593128685914,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.26030872807282407,1.0292435461356124,-116.96127309709605,-0.1327481061498344,0.08333366783415781,13.235583185430192,-0.002316891528101543,0.0014544468814693457,0.23100450500735603
20,2.0,0.48373875000000005,0.00738825,0.8751562500000001,0.006431,-0.00407957368429794,0.019155508378499348,-2.01962820799275,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.23374235432290769,1.0975297845154997,-115.71617250355418,0.5041545003496567,0.7336420378105091,12.445832288578828,0.008799155969848413,0.012804469090834113,0.2172207515867216
21,2.1,0.478969,0.00724525,0.8777797500000001,0.00595825,-0.0034906813476345724,0.01842888749980285,-1.9978680615598814,0.19233463620280694,0.21782901615668118,104.92777439208406,-0.20000130884449954,1.055897474860103,-114.46940795136415,0.5671622861106751,-0.3728074609375951,12.466905729713218,0.009898849285769385,-0.006506717669361181,0.21758855251924192
