,Time (Seconds),W,X,Y,Z,roll rad,pitch rad,yaw rad,roll deg std dev,pitch deg std dev,yaw deg std dev,roll deg,pitch deg,yaw deg,omega_x deg,omega_y deg,omega_z deg,omega_x rad,omega_y rad,omega_z rad
0,0.0,0.44218025,-0.00264525,-0.8962145,-0.0096065,-0.01953022765545427,-0.003753452210217442,1.8352615498997256,,,,-1.1189996175872106,-0.21505697024951007,105.15274111189241,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.54963425,-0.007543500000000001,-0.8346525,-0.004508,-0.015789197021960473,0.007637717044334682,2.331746896978291,,,,-0.9046543512588633,0.43760895175551073,133.59925608958204,4.316095862687219,11.017004372689382,284.3183496616899,0.07533008363559704,0.19228300001004217,4.962291325432995
2,0.2,0.648489,-0.01293825,-0.7603059999999999,0.00318375,-0.011913564372358094,0.02380630324598404,2.8275632937581188,,,,-0.6825969574935423,1.3640007018034774,162.00744303845,8.98287428271741,12.64664868237715,283.87085498653516,0.15678073252614275,0.22072565885048384,4.954481069966402
3,0.3,0.7375447500000001,-0.016028,-0.674109,0.01233375,-0.006990292247878595,0.03981388320656268,-2.9592062125632883,,,,-0.4005142433664606,2.2811674737628262,-169.55002668876958,8.98287428271741,-13.986836963319805,283.87085498653516,0.15678073252614275,-0.24411635694957595,4.954481069966402
4,0.4,0.81490275,-0.016108,-0.5780015,0.020098500000000002,-0.0029934967794306272,0.05140091513364322,-2.4652439569034796,,,,-0.17151473144737925,2.945055500267878,-141.2480742007004,16.831052681123953,7.484948340548357,282.6245909120191,0.29375728586223226,0.13063699288425462,4.932729658516776
5,0.5,0.8798374999999999,-0.01181025,-0.4733345,0.022699749999999998,0.00073736054408506,0.051147620225747745,-1.9722321805338034,,,,0.04224764715554402,2.9305427710733127,-113.00058016447038,16.579246099009964,-0.3531407225906418,282.1053488170956,0.28936243192614963,-0.006163468332078618,4.923667174345409
6,0.6,0.93128225,-0.0055135,-0.36201724999999996,0.020518500000000002,0.004620450805185859,0.04222228015858807,-1.4814845632023936,,,,0.26473233058497264,2.4191584545060523,-84.88281288527942,14.093282224305144,-6.411793710755449,280.90045249411963,0.24597417722691478,-0.11190691121134753,4.902637766364305
7,0.7,0.96896,0.00040774999999999996,-0.24427849999999998,0.014968749999999998,0.008136218221625474,0.02881376037016521,-0.986815183336396,,,,0.4661709652965759,1.650906861111775,-56.540345164604055,10.179787105789748,-9.987284048930672,283.23514804593736,0.1776708021480954,-0.17431098998575068,4.943385890775191
8,0.8,0.9917745,0.00480625,-0.12292975,0.0070115,0.011287913448671888,0.012727078053581116,-0.49274706594673573,,,,0.6467498001178612,0.7292078580037725,-28.232327246202406,5.4084746226422995,-12.41146075829824,282.93518170340894,0.09439568967566599,-0.2166208552143764,4.938150490452904
9,0.9,0.999387,0.0059524999999999995,0.00016599999999999948,0.0008102500000000002,0.011927216312095064,0.0016222265134054365,0.0007362691155947381,,,,0.6833791560226377,0.09294673263235417,0.04218511290940823,0.824969993896386,-9.734436547038436,282.64875392890445,0.01439844262364946,-0.1698979685722886,4.933151382718641
10,1.0,0.991796,0.00532125,0.1230225,-0.0006552500000000001,0.01074610148842839,1.0261237619143316e-05,0.4931556131435095,,,,0.6157062615061989,0.0005879256081577812,28.25573527630944,-0.6738338857413766,-3.955333125128901,282.1092866757144,-0.011760619917694294,-0.06903358604669618,4.923735902943784
11,1.1,0.96909,0.00329225,0.24426425000000002,0.00289,0.0049987612897346555,0.007210503554669936,0.9865853575110957,,,,0.28640792469516785,0.41313142184666496,56.527177114791236,-1.2544877135247001,2.7122041522842917,282.7241589613402,-0.021894941026821414,0.047336892443622575,4.934467448807219
12,1.2,0.93175775,0.001134,0.36136925,0.008238,-0.0038117198186869198,0.016172673989321644,1.4784806668465698,,,,-0.2183954582971319,0.9266259630291344,84.71070230199598,-0.4902028762986193,6.209042034226885,281.7767748345815,-0.00855565419415738,0.10836822689198558,4.917932476514148
13,1.3,0.88027375,-0.00088575,0.4730255,0.01375975,-0.01455185564436582,0.023389604106780343,1.9708262734418378,,,,-0.8337599125057865,1.3401255998003714,112.92002762171323,0.4438033847498844,8.23827122119868,281.92606524133873,0.0077458302953806735,0.14378495748221104,4.920538085653702
14,1.4,0.81577725,-0.00265,0.5770850000000001,0.016842,-0.023742008385708474,0.024423261096024294,2.4611419200360958,,,,-1.3603168776653043,1.3993497827482493,141.01304480079222,1.5949791883742388,7.259305836415849,280.7531790045757,0.02783763833791733,0.12669878825469744,4.900067359070862
